dataset,acc_mean,acc_std,acc_best,time_train,time_val
Lightning7,0.8191780821917808,0.023568014430253782,0.863013698630137,3.678383180007222,0.006189199800224742
Mallat,0.9694399871630296,0.002499783577889934,0.973634066110398,8.062987040009466,0.48763726760000276
Meat,0.9199999999999999,0.05517648452415616,1.0,4.254790440003854,0.0067665518998255725
MedicalImages,0.7702951388888889,0.009844132733104279,0.7816840277777778,7.846150639979169,0.02352779319988622
MiddlePhalanxOutlineAgeGroup,0.7405649038461538,0.008668440551444946,0.7545072115384616,8.533163679915015,0.006240574000054039
MiddlePhalanxOutlineCorrect,0.8525148809523809,0.01728135449823452,0.871577380952381,11.052213940001092,0.00955387569987215
MiddlePhalanxTW,0.5966947115384615,0.020270674108861377,0.6234975961538461,8.461594039970077,0.006264076199353439
MixedShapesRegularTrain,0.967173227490213,0.005719850508507737,0.9736842105263158,52.78689868003421,0.504308429199751
MixedShapesSmallTrain,0.909559862983906,0.0024665669194211047,0.9123464006089603,11.521371780024491,0.5039514389004907
MoteStrain,0.8621125,0.040052424630102,0.8965937500000001,1.8172708400030388,0.035657643200363964
NonInvasiveFetalECGThorax1,0.9447656250000002,0.002522655546558575,0.9479058159722222,145.06091351994255,0.3075268559001997
NonInvasiveFetalECGThorax2,0.9525629340277778,0.0018200389612271614,0.9547417534722222,145.12138051992807,0.3074653741001675
OliveOil,0.7733333333333332,0.048989794855663585,0.8666666666666667,3.0303468799596884,0.004879444299891475
OSULeaf,0.9298519736842105,0.005824158204031529,0.9380482456140351,11.752818739973009,0.024596593699985535
PhalangesOutlinesCorrect,0.8372867063492064,0.009134402717414272,0.8468501984126985,34.589112019946334,0.023833786700051863
Phoneme,0.2885016025641026,0.01041740628537937,0.30857371794871796,23.898299179994503,0.39565575479970716
PigAirwayPressure,0.6753125000000001,0.02496384103808946,0.7109375,22.41283030003833,0.08257796830007283
PigArtPressure,0.99453125,0.0019136638615493578,0.99609375,22.251465640042444,0.08246127179998439
PigCVP,0.9331250000000001,0.005921029787967626,0.94140625,22.24541740003624,0.08247110840030655
Plane,1.0,0.0,1.0,2.8389590400474845,0.0047318102001590884
PowerCons,0.9921875,0.006051536478449089,0.99609375,5.186436399977538,0.008132489199619158
ProximalPhalanxOutlineAgeGroup,0.8701197240259739,0.010937500000000001,0.888088474025974,8.553476659982698,0.006605160899853217
ProximalPhalanxOutlineCorrect,0.9136160714285714,0.013562663601320558,0.926264880952381,11.125278319988865,0.009601211900124326
ProximalPhalanxTW,0.7875304383116883,0.01379550789059994,0.8101663961038961,8.53380942006188,0.006595626599941171
RefrigerationDevices,0.458140756302521,0.08736450414335656,0.5663515406162465,29.029761540007893,0.05653172440006164
Rock,0.528,0.14729562111617575,0.7,8.364694679997047,0.028559019300068027
ScreenType,0.4836484593837535,0.06178649430031007,0.5630689775910365,28.950683039976866,0.05646096489999036
SemgHandGenderCh2,0.8882670454545455,0.0046295488017125686,0.897159090909091,48.54812903997663,0.18116520810029763
SemgHandMovementCh2,0.6050426136363637,0.027898575466312418,0.6436434659090909,72.2300452400028,0.13585535289997644
SemgHandSubjectCh2,0.7136245265151515,0.015755942022110364,0.726266571969697,72.887855139983,0.13700348780029165
ShapeletSim,0.9104567307692308,0.036252976789375196,0.97265625,2.246588820026955,0.020324326999936602
ShapesAll,0.9009659090909091,0.0012232414853187764,0.9025568181818182,35.6440096599923,0.0667106202999712
