dataset,acc_mean,acc_std,acc_best,time_train,time_val
Meat,0.95,0.0,0.95,1.1904551599996922,1.140111640000032
MedicalImages,0.8018421052631579,0.0028342972669128646,0.8052631578947368,1.3534305599998333,1.2079884200004016
MiddlePhalanxOutlineAgeGroup,0.6025974025974026,0.0025974025974026204,0.6038961038961039,1.3640288199998394,1.1595228600001066
MiddlePhalanxOutlineCorrect,0.8391752577319588,0.006663477467238917,0.852233676975945,1.4503360400000018,1.1724378999997498
MiddlePhalanxTW,0.551948051948052,0.005807968772726729,0.5584415584415584,1.367860020000262,1.159065880000344
MixedShapesRegularTrain,0.9709690721649485,0.0012398594951235637,0.9727835051546392,1.4154060799997752,1.961254580000059
MixedShapesSmallTrain,0.9368247422680411,0.00016494845360823796,0.9369072164948453,1.2352333999999245,1.970786340000086
MoteStrain,0.9099041533546327,0.0024952874363919006,0.9129392971246006,1.1708419800001137,1.2432650599999762
NonInvasiveFetalECGThorax1,0.9538931297709923,0.0017804433266703048,0.9572519083969465,2.8066662999999608,1.29183692000006
NonInvasiveFetalECGThorax2,0.9700763358778627,0.001263071109006675,0.971501272264631,2.8392379999997504,1.31823110000023
OliveOil,0.9066666666666668,0.013333333333333329,0.9333333333333333,1.1950922600002742,1.1321026199999322
OSULeaf,0.9388429752066116,0.004048743376501107,0.9462809917355371,1.2482436199994482,1.1635576599999695
PhalangesOutlinesCorrect,0.8358974358974359,0.0028926978195782794,0.8403263403263403,2.7287163599998165,1.207832259999668
Phoneme,0.28080168776371306,0.0017839171440177035,0.2842827004219409,1.2683528199999274,1.5994246200003546
PigAirwayPressure,0.8336538461538462,0.02829603647992724,0.8701923076923077,1.2288535999998202,1.1766387800000302
PigArtPressure,0.9625,0.0035977474872826228,0.9663461538461539,1.238365900000099,1.165578379999897
PigCVP,0.9278846153846153,1.1102230246251565e-16,0.9278846153846154,1.2402607799998806,1.167500199999813
Plane,1.0,0.0,1.0,1.2096372000001794,1.1425209999999424
PowerCons,0.9788888888888888,0.005443310539518154,0.9833333333333333,1.2622827200002575,1.159502540000176
ProximalPhalanxOutlineAgeGroup,0.8575609756097562,0.0019512195121951237,0.8585365853658536,1.3637657399998715,1.1642571800004589
ProximalPhalanxOutlineCorrect,0.8969072164948454,0.006872852233676985,0.9072164948453608,1.4695507799997358,1.1757203200002548
ProximalPhalanxTW,0.8136585365853659,0.003650397450511118,0.8195121951219512,1.3534353199993348,1.163971959999617
RefrigerationDevices,0.5333333333333334,0.010396580634462894,0.5466666666666666,1.3498278000000938,1.1742036199999348
Rock,0.68,0.0,0.68,1.2184745400001702,1.1610331400004725
ScreenType,0.47680000000000006,0.014449298329753665,0.49866666666666665,1.3348390200000722,1.1736420799998086
SemgHandGenderCh2,0.901,0.005228129047119387,0.91,1.2930177599999297,1.1905967400001827
SemgHandMovementCh2,0.591111111111111,0.006440611887195294,0.5977777777777777,1.401004180000018,1.1716465999999854
SemgHandSubjectCh2,0.8426666666666666,0.007221367470787523,0.8533333333333334,1.3588958399999684,1.1758589999999458
ShapeletSim,1.0,0.0,1.0,1.176694999999745,1.1659491599997638
ShapesAll,0.9103333333333333,0.0006666666666666376,0.9116666666666666,1.4912378400002124,1.1984688200001983
SmallKitchenAppliances,0.8197333333333333,0.006219682021168282,0.824,1.3404697600000874,1.1693399400006457
SmoothSubspace,0.9786666666666667,0.0026666666666666393,0.98,1.22873354000003,1.151306200000181
SonyAIBORobotSurface1,0.9178036605657237,0.0008151380175651168,0.9184692179700499,1.1878133999998681,1.1956954200004475
SonyAIBORobotSurface2,0.9179433368310598,0.002687565262301309,0.9223504721930745,1.169380259999889,1.2400853000001009
StarLightCurves,0.9811073336571152,0.000663258877306844,0.9817872753763963,1.751425299999755,6.081264660000124
Strawberry,0.981081081081081,0.0017093392757667092,0.9837837837837838,1.4526757999996334,1.1745337800000926
SwedishLeaf,0.96416,0.001631686244349703,0.9664,1.410483899999599,1.1917611600001692
Symbols,0.9744723618090452,0.0008040201005025338,0.9758793969849247,1.191970240000046,1.2171889399998692
SyntheticControl,0.9986666666666666,0.0016329931618554354,1.0,1.2860372400000415,1.164966539999841
ToeSegmentation1,0.9675438596491228,0.002148675212967707,0.9692982456140351,1.193250679999983,1.1602901800002656
ToeSegmentation2,0.9415384615384615,0.006153846153846131,0.9461538461538461,1.1939454799998201,1.1530526800004737
Trace,1.0,0.0,1.0,1.219591500000206,1.141354539999884
TwoLeadECG,0.9991220368744512,0.0,0.9991220368744512,1.169958679999945,1.2314809399995283
TwoPatterns,1.0,0.0,1.0,1.7351307399996585,1.427541740000197
UMD,0.986111111111111,1.1102230246251565e-16,0.9861111111111112,1.1939132600000448,1.1581047600000602
UWaveGestureLibraryAll,0.9752093802345059,0.0009893939222037867,0.9762702400893356,1.6716499800004385,2.559405439999682
UWaveGestureLibraryX,0.8496929089893912,0.0014191250728240042,0.8512004466778336,1.6687467200001267,1.3905267399999501
UWaveGestureLibraryY,0.7726968174204354,0.0015533699322438097,0.7752652149637074,1.6725966199997857,1.3879543399996692
UWaveGestureLibraryZ,0.7922389726409826,0.0024170698851941385,0.7948073701842546,1.6655679199997393,1.3857632999997804
Wafer,0.9985399091499026,0.0002714665887521401,0.9988643737832577,1.7297002799999972,1.5543169000000487
Wine,0.8037037037037036,0.022222222222222216,0.8333333333333334,1.1964619600003061,1.132090099999914
WordSynonyms,0.7529780564263323,0.0015984387189945856,0.7554858934169278,1.2801651000003402,1.1869977999998809
Worms,0.7428571428571428,0.009718590614997254,0.7532467532467533,1.276664239999809,1.1448577200000727
WormsTwoClass,0.7896103896103897,0.015145329597000785,0.8051948051948052,1.2335346399997436,1.1370973199998844
Yoga,0.9120000000000001,0.005176871642217924,0.921,1.307085359999837,1.3452007200005027
